[ 2012-12-06T10:02:47+08:00 ] / | ERR: (ThinkException) 无法加载模块Index
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001525s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001779s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007091s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001687s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001754s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002119s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002247s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001726s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Run CheckLang Behavior [ RunTime:0.003356s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005209s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_template ] --START--
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002536s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002622s ]
[ 2012-12-06T10:03:36+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_parse ] --START--
