[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001422s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000904s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001026s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000589s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run CheckLang Behavior [ RunTime:0.001821s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002761s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001059s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001140s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008696s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008795s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000375s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000393s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000241s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000462s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001648s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_end ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000460s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000524s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckRoute Behavior [ RunTime:0.001075s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001229s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000668s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckLang Behavior [ RunTime:0.002086s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002941s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run LocationTemplate Behavior [ RunTime:0.001532s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --END-- [ RunTime:0.001691s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ParseTemplate Behavior [ RunTime:0.011830s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011946s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ContentReplace Behavior [ RunTime:0.000534s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run TokenBuild Behavior [ RunTime:0.000554s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000391s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ShowRuntime Behavior [ RunTime:0.000615s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002385s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000730s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --END-- [ RunTime:0.000826s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.000980s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001109s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000610s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckLang Behavior [ RunTime:0.001879s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002641s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.002140s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.002321s ]
[ 2012-12-14T16:44:51+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_parse ] --START--
