[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004003s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002521s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SELECT COUNT(*) AS tp_count FROM `dds_team` LIMIT 1   [ RunTime:0.000794s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002514s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000696s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002589s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002666s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016672s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016771s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ContentReplace Behavior [ RunTime:0.000390s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run TokenBuild Behavior [ RunTime:0.000517s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000677s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000503s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002450s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000786s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000851s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckRoute Behavior [ RunTime:0.001114s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.001286s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001037s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckLang Behavior [ RunTime:0.003673s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005055s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run LocationTemplate Behavior [ RunTime:0.002091s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002208s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run ParseTemplate Behavior [ RunTime:0.012462s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012582s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --START--
