[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.000924s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 42 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 51 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 65 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 81 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 82 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 83 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.015237s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015334s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000511s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000482s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000330s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000595s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002172s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000578s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.000660s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run CheckRoute Behavior [ RunTime:0.001207s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001410s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run CheckLang Behavior [ RunTime:0.001740s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002681s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.000992s ]
