[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_end ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ShowPageTrace Behavior [ RunTime:0.002307s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_end ] --END-- [ RunTime:0.002580s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckRoute Behavior [ RunTime:0.004728s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --END-- [ RunTime:0.005124s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002315s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckLang Behavior [ RunTime:0.003118s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005936s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.017491s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_team`  [ RunTime:0.001234s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.014213s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000974s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run LocationTemplate Behavior [ RunTime:0.002656s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --END-- [ RunTime:0.002952s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ParseTemplate Behavior [ RunTime:0.040933s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041241s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ContentReplace Behavior [ RunTime:0.002287s ]
